@relation y

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute y numeric

@data
0.730968,0.240536,0.637417,0.550437,14.852297
0.597545,0.333218,0.385189,0.984842,9.453785
0.879183,0.941249,0.274954,0.128897,15.84295
0.146602,0.023238,0.54674,0.964487,5.221516
0.104491,0.625146,0.410796,0.776312,5.485744
0.990723,0.487233,0.746241,0.733152,25.390996
0.817297,0.83889,0.526699,0.899335,17.95464
0.13394,0.083062,0.978574,0.722357,9.194985
0.715031,0.14322,0.462958,0.004486,11.410106
0.071498,0.34842,0.33877,0.859357,4.263265
0.971547,0.865746,0.612581,0.178988,24.024734
0.21757,0.854487,0.009673,0.692293,5.389347
0.771313,0.712687,0.211235,0.783092,11.75732
0.945333,0.014236,0.394204,0.853791,13.849641
0.786042,0.993472,0.883104,0.170292,26.339644
0.962069,0.724295,0.677354,0.804395,24.30284
0.441427,0.462088,0.852827,0.501835,13.720254
0.991943,0.96927,0.353106,0.047266,19.801741
0.071624,0.029108,0.48367,0.97195,4.323732
0.989117,0.767442,0.501397,0.255525,21.184022
0.309158,0.848281,0.052085,0.010175,6.150118
0.353853,0.086738,0.850312,0.003677,10.853951
0.307893,0.531609,0.918814,0.27721,12.513781
0.874262,0.609882,0.908639,0.044491,27.197982
0.646724,0.496804,0.506702,0.520689,12.34773
0.366361,0.477637,0.70397,0.322768,10.338965
0.011655,0.701039,0.745353,0.607288,6.953134
0.235082,0.389043,0.911468,0.167389,10.666474
0.003914,0.264896,0.892817,0.297568,6.99998
0.428904,0.687552,0.408496,0.353052,8.89478
0.671759,0.740417,0.894435,0.579958,21.404136
0.510755,0.31197,0.540229,0.973108,9.910596
0.613638,0.027169,0.689018,0.630289,12.66555
0.817838,0.741118,0.63143,0.314892,19.378656
0.750352,0.19022,0.122501,0.713289,8.275073
0.933043,0.311109,0.529533,0.178978,17.51462
0.113882,0.683941,0.37925,0.592429,5.570373
0.940609,0.534146,0.214195,0.33373,13.585063
0.250536,0.73554,0.091147,0.264547,5.485847
0.188668,0.297761,0.758471,0.046588,7.963064
0.086069,0.892224,0.534639,0.085642,6.85705
0.531353,0.073391,0.176769,0.883478,6.13328
0.350433,0.985906,0.575893,0.604247,10.774139
0.273109,0.513187,0.94474,0.21775,12.207223
0.909822,0.019364,0.274209,0.668793,11.444231
0.287877,0.063992,0.226262,0.140067,4.543567
0.603651,0.727748,0.303864,0.625363,10.371179
0.035793,0.477364,0.09267,0.710626,3.605478
0.434142,0.819348,0.604519,0.672245,11.592991
0.450068,0.344561,0.269395,0.745147,6.802431
0.206164,0.149531,0.920372,0.687694,9.668444
0.916703,0.035407,0.195158,0.576007,10.59266
0.964985,0.331752,0.138193,0.097301,11.929652
0.819694,0.669922,0.428888,0.479946,15.277195
0.829593,0.539538,0.584404,0.597387,17.488311
0.374383,0.001641,0.689508,0.713747,8.850351
0.069247,0.503362,0.691367,0.800811,6.586802
0.721617,0.341519,0.063756,0.349285,8.037257
0.520896,0.956309,0.693019,0.121619,15.106793
0.505356,0.90133,0.167184,0.349364,8.818094
0.695156,0.032435,0.260035,0.464924,8.374047
0.406412,0.185471,0.293508,0.575749,6.109678
0.168461,0.371739,0.234649,0.538428,4.492802
0.354944,0.310065,0.837455,0.670782,11.356459
0.109074,0.935631,0.875307,0.852,10.210426
0.394393,0.378287,0.526256,0.004014,8.437728
0.034606,0.786833,0.271308,0.721704,4.8707
0.419496,0.290803,0.244962,0.125236,6.198042
0.148694,0.337588,0.83757,0.844688,8.377423
0.261041,0.620237,0.490722,0.415332,7.399164
0.854493,0.820112,0.049707,0.261343,11.915611
0.840021,0.42857,0.741182,0.876343,20.503651
0.292657,0.983165,0.829551,0.77114,12.887124
0.363841,0.156376,0.272166,0.25217,5.543228
0.001434,0.26868,0.241276,0.118543,3.417118
0.787232,0.962809,0.209797,0.921307,13.462278
0.046566,0.972331,0.408297,0.515405,6.093708
0.010531,0.14523,0.852203,0.253006,6.475096
0.218616,0.14195,0.811084,0.31627,8.510737
0.537988,0.517399,0.545977,0.368303,11.176835
0.145409,0.217718,0.376052,0.912958,4.627704
0.568743,0.875131,0.65254,0.497282,14.974354
0.417223,0.668013,0.015683,0.164871,6.164144
0.743149,0.928316,0.389564,0.374006,14.767226
0.072391,0.124828,0.530044,0.931399,4.735884
0.017068,0.328219,0.582614,0.360512,5.008182
0.040975,0.772681,0.029839,0.52285,4.212044
0.386836,0.668961,0.612161,0.241273,10.296301
0.394165,0.994894,0.291177,0.136303,8.880168
0.43751,0.592087,0.091131,0.879546,6.422939
0.497059,0.531176,0.702181,0.592792,12.680183
0.937093,0.373134,0.05813,0.176991,10.793176
0.412478,0.650397,0.71163,0.942227,11.850399
0.94936,0.619092,0.721522,0.027994,24.328263
0.15348,0.092472,0.939754,0.752455,9.013676
0.187964,0.955678,0.039497,0.210074,5.643206
0.632217,0.783246,0.361365,0.148875,11.676884
0.584469,0.833319,0.671298,0.4018,15.36229
0.402808,0.576304,0.221474,0.921005,6.803589
0.292965,0.830762,0.08476,0.769618,6.095728
